STATE,MDMAUD,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
IL,XXXX,36,U,U,F,3,,,L,E,C,T,2
CA,XXXX,14,E,H,M,3,,,L,G,A,S,1
NC,XXXX,43,U,U,M,3,,,L,E,C,R,2
CA,XXXX,44,E,U,F,3,,,L,E,C,R,2
FL,XXXX,16,E,H,F,3,12,,L,F,A,S,2
other,XXXX,40,U,U,F,3,,,L,F,C,T,2
IN,XXXX,40,E,H,F,3,,,L,E,D,T,2
other,XXXX,39,U,U,F,1,,,L,E,C,T,2
other,XXXX,45,U,U,M,3,,,L,F,D,R,2
other,XXXX,35,I,U,M,3,,,L,F,B,T,1
other,XXXX,53,U,U,F,1,,,L,F,D,R,3
IN,XXXX,17,E,U,M,3,,,L,F,B,S,2
other,XXXX,51,U,H,F,3,,,L,D,D,R,3
other,XXXX,40,U,U,M,3,12,,L,G,B,T,2
other,XXXX,35,E,H,M,3,,,L,F,D,T,1
CA,XXXX,2,U,H,M,1,,,L,F,A,U,1
MI,XXXX,20,E,U,M,3,,,L,F,A,S,2
IL,XXXX,43,E,U,F,2,,,L,G,C,R,2
FL,XXXX,16,E,H,F,3,,,L,F,B,S,2
NC,XXXX,27,U,U,M,3,,,L,F,C,C,2
other,XXXX,12,E,H,F,3,,,L,D,A,S,1
MI,XXXX,43,E,U,M,3,,,L,G,C,R,2
FL,XXXX,40,U,U,F,3,,,L,G,C,T,2
IL,XXXX,22,U,U,F,3,,,L,E,A,C,1
other,XXXX,35,E,H,F,3,,,L,E,A,T,1
CA,XXXX,35,I,H,M,3,,,L,F,B,T,1
IL,XXXX,13,E,H,F,2,,,L,G,A,S,1
MO,XXXX,35,E,H,M,3,,,L,E,D,T,1
TX,XXXX,35,E,H,F,3,,,L,E,A,T,1
IL,XXXX,40,E,U,F,3,,,L,E,A,T,2
TX,XXXX,35,U,U,M,3,,,L,D,A,T,1
MO,XXXX,8,E,H,M,3,,,L,F,A,U,2
NC,XXXX,25,E,U,F,3,,,L,G,B,C,2
FL,XXXX,15,E,U,F,3,,,L,F,A,S,1
other,XXXX,40,U,U,F,3,,,L,F,B,C,3
other,XXXX,42,U,U,M,3,,,L,F,C,R,1
TX,XXXX,12,E,H,M,3,,,L,G,B,S,1
CA,XXXX,11,U,U,F,3,,,L,G,A,S,1
other,XXXX,17,E,H,F,2,,,L,F,A,S,2
other,XXXX,36,E,H,F,3,,,L,G,D,T,2
IL,XXXX,28,I,U,F,3,,,L,G,B,C,2
MI,XXXX,2,U,U,F,3,,,L,E,B,U,1
WA,XXXX,14,E,H,M,3,,,L,F,A,S,1
FL,XXXX,35,E,H,M,3,,,L,F,A,T,1
WI,XXXX,18,E,H,F,3,,,L,F,B,S,2
other,XXXX,24,E,H,F,3,,Y,L,D,C,C,1
other,XXXX,40,U,U,F,2,,Y,L,E,C,C,3
IN,XXXX,34,E,H,M,2,,Y,L,F,C,T,1
WA,XXXX,5,I,U,M,3,,,L,F,A,U,2
TX,XXXX,31,E,H,M,2,,,L,F,C,C,2
IL,XXXX,44,E,U,F,2,12,,L,F,B,R,2
NC,XXXX,32,E,H,F,3,,,L,F,B,C,2
NC,XXXX,27,E,H,F,2,,,L,D,B,C,2
FL,XXXX,18,E,H,F,3,,,L,E,A,S,2
IL,XXXX,36,E,H,M,2,,,L,F,C,T,2
CA,XXXX,46,U,U,F,3,,Y,L,G,A,R,2
CA,XXXX,3,U,U,F,2,,,L,E,A,U,1
other,XXXX,50,E,H,F,2,,,L,F,D,R,3
TX,XXXX,18,U,U,M,3,,,L,F,A,S,2
IN,XXXX,44,E,H,F,2,,Y,L,F,C,R,2
TX,XXXX,40,E,H,M,3,,Y,L,F,A,T,2
GA,XXXX,44,E,H,F,2,,,L,F,B,R,2
other,XXXX,53,U,H,M,2,,,L,F,D,R,3
TX,XXXX,40,E,H,F,3,,Y,L,F,A,T,2
GA,XXXX,46,E,H,M,3,,,L,F,D,R,2
NC,XXXX,17,E,H,F,3,,,L,D,B,S,2
FL,XXXX,28,U,U,M,3,,,L,G,B,C,2
IL,XXXX,43,U,U,F,3,,,L,E,A,R,2
CA,XXXX,7,U,U,F,3,,,L,G,A,U,2
IN,XXXX,45,E,U,M,2,,,L,G,D,R,2
CA,XXXX,37,E,H,F,2,,,L,D,C,T,2
other,XXXX,40,E,H,Other,3,,Y,L,G,D,T,2
other,XXXX,14,U,U,F,2,,,L,F,B,S,1
NC,XXXX,53,U,U,F,3,,Y,L,F,D,R,3
CA,XXXX,10,E,H,M,2,12,,L,E,A,U,3
MI,XXXX,24,E,H,F,3,,,L,F,A,C,1
other,XXXX,38,U,U,F,3,,,L,G,A,T,2
IL,XXXX,21,E,H,M,2,,,L,E,A,S,3
CA,XXXX,13,E,H,F,2,,,L,F,A,S,1
FL,XXXX,9,E,H,F,3,,,L,F,A,U,2
WI,XXXX,11,I,H,M,1,,,L,G,B,S,1
FL,XXXX,28,U,U,M,1,,,L,F,B,C,2
TX,XXXX,11,E,H,F,3,,,L,E,A,S,1
other,XXXX,46,E,U,M,2,,,L,F,D,R,2
CA,XXXX,7,U,U,F,3,,,L,F,A,U,2
GA,XXXX,43,E,U,F,1,,Y,L,F,B,R,2
CA,XXXX,3,U,H,F,3,,,L,F,A,U,1
other,XXXX,28,E,H,M,1,,Y,L,F,C,C,2
FL,XXXX,29,E,H,F,3,,,L,G,B,C,2
TX,XXXX,30,E,H,F,3,,,L,G,C,C,2
other,XXXX,25,U,U,M,3,,,L,G,B,C,2
NC,XXXX,45,E,H,F,2,,Y,L,F,D,R,2
other,XXXX,31,E,H,M,3,,,L,D,B,C,2
GA,XXXX,18,E,H,M,3,,,L,E,A,S,2
other,XXXX,27,E,H,M,3,,,L,E,C,C,2
other,XXXX,45,U,U,F,3,,,L,E,D,R,2
other,XXXX,36,E,H,F,3,,,L,F,C,T,2
MO,XXXX,40,U,U,M,3,,,L,D,C,T,2
FL,XXXX,29,E,H,F,3,12,,L,E,B,C,2
CA,XXXX,13,U,U,M,3,,,L,F,A,S,1
FL,XXXX,4,E,U,F,2,12,,L,F,A,U,2
other,XXXX,12,U,U,F,2,,,L,E,B,S,1
CA,XXXX,10,E,H,F,3,,,L,G,A,U,3
other,XXXX,44,E,U,M,2,,,L,E,B,R,2
TX,XXXX,3,E,H,F,3,,,L,G,A,U,1
CA,XXXX,22,U,U,F,3,,,L,G,A,C,1
other,XXXX,41,U,U,F,3,,,L,D,B,T,3
FL,C1CM,18,E,H,M,3,12,,L,G,B,S,2
other,XXXX,51,U,U,F,2,,,L,F,D,R,3
CA,XXXX,13,I,H,M,3,,,L,G,A,S,1
TX,XXXX,24,U,U,Other,1,,,L,E,C,C,1
TX,XXXX,49,E,H,M,3,12,,L,F,D,R,2
NC,XXXX,36,E,H,F,3,,,L,F,D,T,2
CA,XXXX,24,I,H,M,2,,,L,G,A,C,1
other,XXXX,12,E,H,F,3,,Y,L,F,B,S,1
other,XXXX,13,E,H,M,3,,,L,G,B,S,1
other,XXXX,43,E,H,M,3,,,L,G,B,R,2
other,XXXX,24,E,H,F,3,,,L,E,B,C,1
TX,XXXX,13,E,H,M,3,12,,L,G,A,S,1
other,XXXX,18,E,H,F,3,,,L,E,C,S,2
MO,XXXX,39,E,U,M,3,,,L,E,D,T,2
other,XXXX,43,U,H,M,3,,,L,F,D,R,2
FL,XXXX,23,I,U,F,3,,,L,D,B,C,1
FL,XXXX,33,E,H,M,2,,,L,F,A,C,2
CA,XXXX,24,E,H,M,3,12,,L,E,A,C,1
FL,XXXX,49,U,U,F,3,,,L,G,B,R,2
FL,XXXX,40,E,U,F,2,,,L,F,B,T,2
other,XXXX,8,E,H,F,3,,,L,F,A,U,2
other,XXXX,8,E,U,M,1,,Y,L,E,B,U,2
other,XXXX,31,E,H,F,2,,,L,G,B,C,2
FL,XXXX,37,E,H,F,2,,,L,F,C,T,2
IL,XXXX,13,E,H,F,3,,,L,E,A,S,1
other,XXXX,14,I,H,F,2,,,L,F,A,S,1
IL,XXXX,13,E,H,F,2,12,,L,G,A,S,1
IL,XXXX,30,E,H,F,3,,Y,L,G,B,C,2
MI,XXXX,40,U,H,F,3,,,L,F,A,T,2
CA,XXXX,3,I,U,F,2,,,L,F,A,U,1
MI,XXXX,24,U,U,M,3,,,L,F,C,C,1
IL,XXXX,36,E,U,F,3,,,L,G,B,T,2
TX,XXXX,12,E,H,M,3,,,L,G,B,S,1
MI,XXXX,44,E,H,M,3,,,L,F,A,R,2
other,XXXX,40,E,H,F,2,,,L,F,C,T,2
WA,XXXX,40,E,H,M,2,12,,L,E,A,T,2
IL,XXXX,7,E,H,F,3,,,L,F,A,U,2
FL,XXXX,30,E,H,F,3,,,L,F,B,C,2
MI,XXXX,17,E,U,F,3,,,L,G,A,S,2
MO,XXXX,36,E,H,F,2,,,L,F,D,T,2
IN,XXXX,49,I,U,M,3,,,L,F,C,R,2
CA,XXXX,14,E,H,M,2,,Y,L,G,B,S,1
FL,XXXX,28,E,H,F,3,,,L,D,B,C,2
IN,XXXX,44,U,U,M,3,,,L,E,B,R,2
other,XXXX,45,I,U,F,1,,,L,F,B,R,2
